package,dependency,type
bioimagetools,apt-get install -y libcurl4-openssl-dev,apt-get
bioimagetools,apt-get install -y libtiff-dev,apt-get
bioimagetools,apt-get install -y libssl-dev,apt-get
RBesT,apt-get install -y make,apt-get
RBesT,apt-get install -y pandoc-citeproc,apt-get
RBesT,apt-get install -y pandoc,apt-get
mfbvar,apt-get install -y make,apt-get
CausalQueries,apt-get install -y make,apt-get
pivmet,apt-get install -y pandoc-citeproc,apt-get
pivmet,apt-get install -y pandoc,apt-get
haven,apt-get install -y make,apt-get
grf,apt-get install -y make,apt-get
bacistool,apt-get install -y jags,apt-get
jdx,apt-get install -y default-jdk,apt-get
jdx,R CMD javareconf,R CMD
BCHM,apt-get install -y jags,apt-get
jsr223,apt-get install -y default-jdk,apt-get
jsr223,R CMD javareconf,R CMD
Rmixmod,apt-get install -y make,apt-get
units,apt-get install -y libudunits2-dev,apt-get
lwgeom,apt-get install -y libgeos-dev,apt-get
lwgeom,apt-get install -y libproj-dev,apt-get
jackalope,apt-get install -y make,apt-get
PythonInR,apt-get install -y python,apt-get
bfp,apt-get install -y make,apt-get
texreg,apt-get install -y texlive,apt-get
texreg,apt-get install -y pandoc,apt-get
OpenImageR,apt-get install -y libfftw3-dev,apt-get
OpenImageR,apt-get install -y libjpeg-dev,apt-get
OpenImageR,apt-get install -y libpng-dev,apt-get
RcppGSL,apt-get install -y libgsl0-dev,apt-get
RcppParallel,apt-get install -y make,apt-get
BayesGWQS,apt-get install -y jags,apt-get
pdfminer,apt-get install -y python,apt-get
drf,apt-get install -y make,apt-get
vapour,apt-get install -y libgdal-dev,apt-get
vapour,apt-get install -y gdal-bin,apt-get
vapour,apt-get install -y libproj-dev,apt-get
bayesbr,apt-get install -y make,apt-get
sentometrics,apt-get install -y make,apt-get
cairoDevice,apt-get install -y libcairo2-dev,apt-get
bellreg,apt-get install -y make,apt-get
Cairo,apt-get install -y libcairo2-dev,apt-get
bigMap,apt-get install -y make,apt-get
YPBP,apt-get install -y make,apt-get
hsstan,apt-get install -y make,apt-get
officedown,apt-get install -y pandoc,apt-get
InSilicoVA,apt-get install -y default-jdk,apt-get
InSilicoVA,R CMD javareconf,R CMD
ROpenCVLite,apt-get install -y cmake,apt-get
apcf,apt-get install -y libgdal-dev,apt-get
apcf,apt-get install -y gdal-bin,apt-get
apcf,apt-get install -y libgeos-dev,apt-get
uavRmp,apt-get install -y make,apt-get
glmmTMB,apt-get install -y make,apt-get
unmarked,apt-get install -y make,apt-get
cairoDevice,apt-get install -y libcairo2-dev,apt-get
govdown,apt-get install -y pandoc,apt-get
cubature,apt-get install -y make,apt-get
HydeNet,apt-get install -y jags,apt-get
symengine,apt-get install -y cmake,apt-get
symengine,apt-get install -y libgmp3-dev,apt-get
symengine,apt-get install -y make,apt-get
symengine,apt-get install -y libmpfr-dev,apt-get
RcppCWB,apt-get install -y libglib2.0-dev,apt-get
RcppCWB,apt-get install -y make,apt-get
rJava,apt-get install -y make,apt-get
rJava,apt-get install -y default-jdk,apt-get
rJava,R CMD javareconf,R CMD
rstantools,apt-get install -y pandoc,apt-get
Cairo,apt-get install -y libcairo2-dev,apt-get
DNAtools,apt-get install -y make,apt-get
dialr,apt-get install -y default-jdk,apt-get
dialr,R CMD javareconf,R CMD
glmmfields,apt-get install -y make,apt-get
websocket,apt-get install -y make,apt-get
websocket,apt-get install -y libssl-dev,apt-get
clustermq,apt-get install -y libzmq3-dev,apt-get
breathtestcore,apt-get install -y pandoc,apt-get
roll,apt-get install -y make,apt-get
breathteststan,apt-get install -y make,apt-get
MUACz,apt-get install -y make,apt-get
IRkernel,apt-get install -y python,apt-get
credentials,apt-get install -y git,apt-get
remotes,apt-get install -y git,apt-get
foieGras,apt-get install -y libgdal-dev,apt-get
foieGras,apt-get install -y gdal-bin,apt-get
foieGras,apt-get install -y libgeos-dev,apt-get
foieGras,apt-get install -y libproj-dev,apt-get
ssh,apt-get install -y libssh2-1-dev,apt-get
rstanarm,apt-get install -y make,apt-get
rstanarm,apt-get install -y pandoc-citeproc,apt-get
rstanarm,apt-get install -y pandoc,apt-get
causact,apt-get install -y python,apt-get
XML,apt-get install -y libxml2-dev,apt-get
rstan,apt-get install -y make,apt-get
rstan,apt-get install -y pandoc,apt-get
camtrapR,apt-get install -y libimage-exiftool-perl,apt-get
ChannelAttribution,apt-get install -y make,apt-get
gastempt,apt-get install -y make,apt-get
fs,apt-get install -y make,apt-get
image.CannyEdges,apt-get install -y libfftw3-dev,apt-get
image.CannyEdges,apt-get install -y libpng-dev,apt-get
MIMSunit,apt-get install -y libxml2-dev,apt-get
MIMSunit,apt-get install -y libssl-dev,apt-get
xlsimple,apt-get install -y default-jdk,apt-get
xlsimple,R CMD javareconf,R CMD
rmsb,apt-get install -y make,apt-get
lcra,apt-get install -y jags,apt-get
thurstonianIRT,apt-get install -y make,apt-get
BANOVA,apt-get install -y jags,apt-get
modeLLtest,apt-get install -y make,apt-get
mapview,apt-get install -y make,apt-get
RJDemetra,apt-get install -y default-jdk,apt-get
RJDemetra,R CMD javareconf,R CMD
clpAPI,apt-get install -y coinor-libclp-dev,apt-get
bsem,apt-get install -y make,apt-get
hdf5r,apt-get install -y libhdf5-dev,apt-get
RWeka,apt-get install -y default-jdk,apt-get
RWeka,R CMD javareconf,R CMD
OpenMx,apt-get install -y make,apt-get
gdalcubes,apt-get install -y libgdal-dev,apt-get
gdalcubes,apt-get install -y gdal-bin,apt-get
gdalcubes,apt-get install -y libnetcdf-dev,apt-get
microclass,apt-get install -y make,apt-get
MaOEA,apt-get install -y python,apt-get
IOHexperimenter,apt-get install -y make,apt-get
bsam,apt-get install -y jags,apt-get
uchardet,apt-get install -y make,apt-get
cartography,apt-get install -y libgdal-dev,apt-get
cartography,apt-get install -y gdal-bin,apt-get
cartography,apt-get install -y libgeos-dev,apt-get
cartography,apt-get install -y libproj-dev,apt-get
MFPCA,apt-get install -y libfftw3-dev,apt-get
rkeops,apt-get install -y cmake,apt-get
rkeops,apt-get install -y nvidia-cuda-dev,apt-get
rgeos,apt-get install -y libgeos-dev,apt-get
RODBC,apt-get install -y unixodbc-dev,apt-get
XML,apt-get install -y libxml2-dev,apt-get
stringfish,apt-get install -y make,apt-get
psrwe,apt-get install -y make,apt-get
stringi,apt-get install -y libicu-dev,apt-get
shinyjs,apt-get install -y pandoc,apt-get
hadron,apt-get install -y libgsl0-dev,apt-get
MBNMAdose,apt-get install -y jags,apt-get
pcnetmeta,apt-get install -y jags,apt-get
crandep,apt-get install -y pandoc,apt-get
inlmisc,apt-get install -y pandoc,apt-get
RNetCDF,apt-get install -y libnetcdf-dev,apt-get
RNetCDF,apt-get install -y libudunits2-dev,apt-get
arrangements,apt-get install -y libgmp3-dev,apt-get
ubiquity,apt-get install -y perl,apt-get
pkgdown,apt-get install -y pandoc,apt-get
rpf,apt-get install -y make,apt-get
pcFactorStan,apt-get install -y make,apt-get
geouy,apt-get install -y libgdal-dev,apt-get
geouy,apt-get install -y gdal-bin,apt-get
geouy,apt-get install -y libgeos-dev,apt-get
geouy,apt-get install -y libproj-dev,apt-get
rdataretriever,apt-get install -y python,apt-get
bmgarch,apt-get install -y make,apt-get
openssl,apt-get install -y libssl-dev,apt-get
ropenblas,apt-get install -y make,apt-get
TCIU,apt-get install -y make,apt-get
bayesdfa,apt-get install -y make,apt-get
FLSSS,apt-get install -y make,apt-get
knitr,apt-get install -y pandoc,apt-get
tables,apt-get install -y pandoc,apt-get
systemfonts,apt-get install -y libfontconfig1-dev,apt-get
systemfonts,apt-get install -y libfreetype6-dev,apt-get
rmdcev,apt-get install -y make,apt-get
densEstBayes,apt-get install -y make,apt-get
devEMF,apt-get install -y libfreetype6-dev,apt-get
devEMF,apt-get install -y libxft-dev,apt-get
devEMF,apt-get install -y zlib1g-dev,apt-get
rjdmarkdown,apt-get install -y default-jdk,apt-get
rjdmarkdown,R CMD javareconf,R CMD
SuperGauss,apt-get install -y libfftw3-dev,apt-get
fftwtools,apt-get install -y libfftw3-dev,apt-get
KSgeneral,apt-get install -y libfftw3-dev,apt-get
mlr,apt-get install -y libgdal-dev,apt-get
mlr,apt-get install -y gdal-bin,apt-get
mlr,apt-get install -y libgeos-dev,apt-get
mlr,apt-get install -y libglu1-mesa-dev,apt-get
mlr,apt-get install -y libgmp3-dev,apt-get
mlr,apt-get install -y libgsl0-dev,apt-get
mlr,apt-get install -y jags,apt-get
mlr,apt-get install -y libproj-dev,apt-get
HDPenReg,apt-get install -y make,apt-get
catSurv,apt-get install -y make,apt-get
igraph,apt-get install -y libglpk-dev,apt-get
igraph,apt-get install -y libgmp3-dev,apt-get
igraph,apt-get install -y libxml2-dev,apt-get
SAR,apt-get install -y make,apt-get
survHE,apt-get install -y make,apt-get
BIRDS,apt-get install -y libgdal-dev,apt-get
BIRDS,apt-get install -y gdal-bin,apt-get
opencpu,apt-get install -y libapparmor-dev,apt-get
opencpu,apt-get install -y pandoc,apt-get
IncDTW,apt-get install -y make,apt-get
rTorch,apt-get install -y pandoc-citeproc,apt-get
rTorch,apt-get install -y pandoc,apt-get
rTorch,apt-get install -y python,apt-get
smam,apt-get install -y make,apt-get
smam,apt-get install -y libgsl0-dev,apt-get
cbq,apt-get install -y make,apt-get
redist,apt-get install -y libgmp3-dev,apt-get
redist,apt-get install -y libxml2-dev,apt-get
redist,apt-get install -y python,apt-get
fishflux,apt-get install -y make,apt-get
cleanNLP,apt-get install -y python,apt-get
bookdown,apt-get install -y pandoc,apt-get
ergm,apt-get install -y libopenmpi-dev,apt-get
CoordinateCleaner,apt-get install -y libgdal-dev,apt-get
CoordinateCleaner,apt-get install -y gdal-bin,apt-get
MrSGUIDE,apt-get install -y make,apt-get
bspm,apt-get install -y python3,apt-get
trialr,apt-get install -y make,apt-get
tiledb,apt-get install -y cmake,apt-get
tiledb,apt-get install -y git,apt-get
CTD,apt-get install -y libgmp3-dev,apt-get
h2o,apt-get install -y default-jdk,apt-get
h2o,R CMD javareconf,R CMD
tidycwl,apt-get install -y pandoc,apt-get
argparse,apt-get install -y python,apt-get
walker,apt-get install -y make,apt-get
MixSIAR,apt-get install -y jags,apt-get
arrow,apt-get install -y libcurl4-openssl-dev,apt-get
arrow,apt-get install -y libssl-dev,apt-get
redland,apt-get install -y librdf0-dev,apt-get
QCA,apt-get install -y make,apt-get
spatsoc,apt-get install -y libgeos-dev,apt-get
PRIMME,apt-get install -y make,apt-get
reticulate,apt-get install -y python,apt-get
BeastJar,apt-get install -y default-jdk,apt-get
BeastJar,R CMD javareconf,R CMD
odbc,apt-get install -y make,apt-get
odbc,apt-get install -y unixodbc-dev,apt-get
huxtable,apt-get install -y texlive,apt-get
GMKMcharlie,apt-get install -y make,apt-get
kantorovich,apt-get install -y libgmp3-dev,apt-get
ftExtra,apt-get install -y pandoc,apt-get
altmeta,apt-get install -y jags,apt-get
milr,apt-get install -y make,apt-get
JavaGD,apt-get install -y make,apt-get
JavaGD,apt-get install -y default-jdk,apt-get
JavaGD,R CMD javareconf,R CMD
strm,apt-get install -y libgdal-dev,apt-get
strm,apt-get install -y gdal-bin,apt-get
strm,apt-get install -y libgeos-dev,apt-get
strm,apt-get install -y libproj-dev,apt-get
entropart,apt-get install -y pandoc,apt-get
ctrdata,apt-get install -y perl,apt-get
V8,apt-get install -y libv8-dev,apt-get
FlexReg,apt-get install -y make,apt-get
tsapp,apt-get install -y libfftw3-dev,apt-get
colorizer,apt-get install -y imagemagick,apt-get
colorizer,apt-get install -y libmagick++-dev,apt-get
morse,apt-get install -y jags,apt-get
exiftoolr,apt-get install -y perl,apt-get
mbbefd,apt-get install -y make,apt-get
sudachir,apt-get install -y python,apt-get
ip2proxy,apt-get install -y python,apt-get
xlsx,apt-get install -y default-jdk,apt-get
xlsx,R CMD javareconf,R CMD
Rmpfr,apt-get install -y libgmp3-dev,apt-get
Rmpfr,apt-get install -y libmpfr-dev,apt-get
leidenAlg,apt-get install -y make,apt-get
gert,apt-get install -y software-properties-common,apt-get
gert,add-apt-repository -y ppa:cran/libgit2,Other
gert,apt-get install -y libgit2-dev,apt-get
textrecipes,apt-get install -y make,apt-get
StatCharrms,apt-get install -y libgtk2.0-dev,apt-get
nlrx,apt-get install -y libgdal-dev,apt-get
nlrx,apt-get install -y gdal-bin,apt-get
nlrx,apt-get install -y libgeos-dev,apt-get
nlrx,apt-get install -y default-jdk,apt-get
nlrx,apt-get install -y libxml2-dev,apt-get
nlrx,apt-get install -y libssl-dev,apt-get
nlrx,apt-get install -y pandoc,apt-get
nlrx,apt-get install -y libproj-dev,apt-get
nlrx,apt-get install -y libudunits2-dev,apt-get
nlrx,R CMD javareconf,R CMD
jqr,apt-get install -y libjq-dev,apt-get
varitas,apt-get install -y perl,apt-get
textshaping,apt-get install -y libfreetype6-dev,apt-get
textshaping,apt-get install -y libfribidi-dev,apt-get
textshaping,apt-get install -y libharfbuzz-dev,apt-get
hpa,apt-get install -y make,apt-get
dbmss,apt-get install -y make,apt-get
dbmss,apt-get install -y pandoc,apt-get
DIZutils,apt-get install -y libpq-dev,apt-get
tiff,apt-get install -y libjpeg-dev,apt-get
tiff,apt-get install -y libtiff-dev,apt-get
dismo,apt-get install -y default-jdk,apt-get
dismo,R CMD javareconf,R CMD
QF,apt-get install -y libgsl0-dev,apt-get
bayesGAM,apt-get install -y make,apt-get
GWnnegPCA,apt-get install -y libgdal-dev,apt-get
GWnnegPCA,apt-get install -y gdal-bin,apt-get
GWnnegPCA,apt-get install -y libgeos-dev,apt-get
GWnnegPCA,apt-get install -y libproj-dev,apt-get
landmap,apt-get install -y libgdal-dev,apt-get
landmap,apt-get install -y gdal-bin,apt-get
landmap,apt-get install -y libgeos-dev,apt-get
landmap,apt-get install -y libproj-dev,apt-get
potential,apt-get install -y libgdal-dev,apt-get
potential,apt-get install -y gdal-bin,apt-get
potential,apt-get install -y libgeos-dev,apt-get
potential,apt-get install -y libproj-dev,apt-get
Rssa,apt-get install -y libfftw3-dev,apt-get
salso,apt-get install -y rustc,apt-get
salso,apt-get install -y cargo,apt-get
qCBA,apt-get install -y default-jdk,apt-get
qCBA,R CMD javareconf,R CMD
mwa,apt-get install -y default-jdk,apt-get
mwa,R CMD javareconf,R CMD
mongolite,apt-get install -y libssl-dev,apt-get
mongolite,apt-get install -y libsasl2-dev,apt-get
exactextractr,apt-get install -y libgeos-dev,apt-get
GWmodel,apt-get install -y make,apt-get
CNVRG,apt-get install -y make,apt-get
JMcmprsk,apt-get install -y libgsl0-dev,apt-get
reporter,apt-get install -y pandoc,apt-get
nimble,apt-get install -y make,apt-get
WriteXLS,apt-get install -y perl,apt-get
phonfieldwork,apt-get install -y pandoc,apt-get
anticlust,apt-get install -y libglpk-dev,apt-get
anticlust,apt-get install -y pandoc,apt-get
SDMtune,apt-get install -y default-jdk,apt-get
SDMtune,R CMD javareconf,R CMD
diversitree,apt-get install -y libfftw3-dev,apt-get
diversitree,apt-get install -y libgsl0-dev,apt-get
rstanemax,apt-get install -y make,apt-get
bdpar,apt-get install -y python,apt-get
rmdfiltr,apt-get install -y pandoc,apt-get
datasailr,apt-get install -y make,apt-get
PoissonBinomial,apt-get install -y libfftw3-dev,apt-get
rasciidoc,apt-get install -y python,apt-get
mRpostman,apt-get install -y libcurl4-openssl-dev,apt-get
mRpostman,apt-get install -y libssl-dev,apt-get
PandemicLP,apt-get install -y make,apt-get
landsepi,apt-get install -y libgsl0-dev,apt-get
pagedown,apt-get install -y pandoc,apt-get
idiogramFISH,apt-get install -y pandoc,apt-get
ggdemetra,apt-get install -y default-jdk,apt-get
ggdemetra,R CMD javareconf,R CMD
streamMOA,apt-get install -y default-jdk,apt-get
streamMOA,R CMD javareconf,R CMD
SimInf,apt-get install -y libgsl0-dev,apt-get
rtiff,apt-get install -y libtiff-dev,apt-get
wordnet,apt-get install -y default-jdk,apt-get
wordnet,R CMD javareconf,R CMD
MixGHD,apt-get install -y make,apt-get
gitcreds,apt-get install -y git,apt-get
bayes4psy,apt-get install -y make,apt-get
link2GI,apt-get install -y make,apt-get
dynBiplotGUI,apt-get install -y make,apt-get
GreedyExperimentalDesign,apt-get install -y default-jdk,apt-get
GreedyExperimentalDesign,R CMD javareconf,R CMD
asbio,apt-get install -y bwidget,apt-get
loo,apt-get install -y pandoc-citeproc,apt-get
loo,apt-get install -y pandoc,apt-get
bpcs,apt-get install -y make,apt-get
coveffectsplot,apt-get install -y pandoc,apt-get
motifr,apt-get install -y python,apt-get
pbdZMQ,apt-get install -y libzmq3-dev,apt-get
secr,apt-get install -y make,apt-get
openCR,apt-get install -y make,apt-get
RAppArmor,apt-get install -y libapparmor-dev,apt-get
unix,apt-get install -y libapparmor-dev,apt-get
PTXQC,apt-get install -y pandoc,apt-get
dataReporter,apt-get install -y git,apt-get
dataReporter,apt-get install -y pandoc,apt-get
rmarkdown,apt-get install -y pandoc,apt-get
text,apt-get install -y python,apt-get
N2R,apt-get install -y make,apt-get
GetoptLong,apt-get install -y perl,apt-get
quantdr,apt-get install -y make,apt-get
RMySQL,apt-get install -y libmysqlclient-dev,apt-get
RMySQL,apt-get install -y mysql-server,apt-get
DataExplorer,apt-get install -y pandoc,apt-get
VBLPCM,apt-get install -y libgsl0-dev,apt-get
ggquickeda,apt-get install -y pandoc,apt-get
BTSPAS,apt-get install -y jags,apt-get
specmine,apt-get install -y python,apt-get
seqinr,apt-get install -y zlib1g-dev,apt-get
bartMachine,apt-get install -y default-jdk,apt-get
bartMachine,R CMD javareconf,R CMD
StanHeaders,apt-get install -y pandoc,apt-get
ctsem,apt-get install -y make,apt-get
data.table,apt-get install -y zlib1g-dev,apt-get
pathfindR,apt-get install -y default-jdk,apt-get
pathfindR,R CMD javareconf,R CMD
Crossover,apt-get install -y default-jdk,apt-get
Crossover,R CMD javareconf,R CMD
terra,apt-get install -y libgdal-dev,apt-get
terra,apt-get install -y gdal-bin,apt-get
terra,apt-get install -y libgeos-dev,apt-get
terra,apt-get install -y libproj-dev,apt-get
rgdal,apt-get install -y libgdal-dev,apt-get
rgdal,apt-get install -y gdal-bin,apt-get
rgdal,apt-get install -y libproj-dev,apt-get
bioacoustics,apt-get install -y libfftw3-dev,apt-get
bioacoustics,apt-get install -y make,apt-get
HiClimR,apt-get install -y libnetcdf-dev,apt-get
pkgnews,apt-get install -y pandoc,apt-get
gdtools,apt-get install -y libcairo2-dev,apt-get
gdtools,apt-get install -y libfontconfig1-dev,apt-get
gdtools,apt-get install -y libfreetype6-dev,apt-get
lamW,apt-get install -y make,apt-get
rminizinc,apt-get install -y pandoc,apt-get
sf,apt-get install -y libgdal-dev,apt-get
sf,apt-get install -y gdal-bin,apt-get
sf,apt-get install -y libgeos-dev,apt-get
sf,apt-get install -y libproj-dev,apt-get
rticles,apt-get install -y make,apt-get
minidown,apt-get install -y pandoc,apt-get
GGally,apt-get install -y libssl-dev,apt-get
RMariaDB,apt-get install -y libmysqlclient-dev,apt-get
RMariaDB,apt-get install -y mysql-server,apt-get
gmp,apt-get install -y libgmp3-dev,apt-get
sen2r,apt-get install -y libcairo2-dev,apt-get
sen2r,apt-get install -y libgdal-dev,apt-get
sen2r,apt-get install -y gdal-bin,apt-get
sen2r,apt-get install -y libgeos-dev,apt-get
sen2r,apt-get install -y libxml2-dev,apt-get
sen2r,apt-get install -y libnetcdf-dev,apt-get
sen2r,apt-get install -y libssl-dev,apt-get
sen2r,apt-get install -y libproj-dev,apt-get
sen2r,apt-get install -y libv8-dev,apt-get
stplanr,apt-get install -y make,apt-get
RPostgres,apt-get install -y libpq-dev,apt-get
FFD,apt-get install -y bwidget,apt-get
frequency,apt-get install -y pandoc,apt-get
metaBMA,apt-get install -y make,apt-get
sysfonts,apt-get install -y libfreetype6-dev,apt-get
sysfonts,apt-get install -y libpng-dev,apt-get
sysfonts,apt-get install -y zlib1g-dev,apt-get
BayesPostEst,apt-get install -y jags,apt-get
blogdown,apt-get install -y pandoc,apt-get
ragg,apt-get install -y libfreetype6-dev,apt-get
ragg,apt-get install -y libjpeg-dev,apt-get
ragg,apt-get install -y libpng-dev,apt-get
ragg,apt-get install -y libtiff-dev,apt-get
bayesplot,apt-get install -y pandoc-citeproc,apt-get
bayesplot,apt-get install -y pandoc,apt-get
Rsagacmd,apt-get install -y saga,apt-get
TreeBUGS,apt-get install -y jags,apt-get
git2r,apt-get install -y software-properties-common,apt-get
git2r,add-apt-repository -y ppa:cran/libgit2,Other
git2r,apt-get install -y libgit2-dev,apt-get
git2r,apt-get install -y libssh2-1-dev,apt-get
git2r,apt-get install -y libssl-dev,apt-get
git2r,apt-get install -y zlib1g-dev,apt-get
freetypeharfbuzz,apt-get install -y make,apt-get
adimpro,apt-get install -y dcraw,apt-get
adimpro,apt-get install -y imagemagick,apt-get
adimpro,apt-get install -y libmagick++-dev,apt-get
r5r,apt-get install -y default-jdk,apt-get
r5r,R CMD javareconf,R CMD
magickGUI,apt-get install -y imagemagick,apt-get
magickGUI,apt-get install -y libmagick++-dev,apt-get
multinma,apt-get install -y make,apt-get
neptune,apt-get install -y python,apt-get
RcppBigIntAlgos,apt-get install -y libgmp3-dev,apt-get
showtext,apt-get install -y libfreetype6-dev,apt-get
showtext,apt-get install -y libpng-dev,apt-get
showtext,apt-get install -y zlib1g-dev,apt-get
markovchain,apt-get install -y make,apt-get
prettydoc,apt-get install -y pandoc,apt-get
brinton,apt-get install -y pandoc,apt-get
cld3,apt-get install -y libprotobuf-dev,apt-get
cld3,apt-get install -y protobuf-compiler,apt-get
rgl,apt-get install -y libfreetype6-dev,apt-get
rgl,apt-get install -y libglu1-mesa-dev,apt-get
rgl,apt-get install -y libpng-dev,apt-get
rgl,apt-get install -y libgl1-mesa-dev,apt-get
rgl,apt-get install -y pandoc,apt-get
rgl,apt-get install -y zlib1g-dev,apt-get
staplr,apt-get install -y default-jdk,apt-get
staplr,R CMD javareconf,R CMD
GWpcor,apt-get install -y libgdal-dev,apt-get
GWpcor,apt-get install -y gdal-bin,apt-get
GWpcor,apt-get install -y libgeos-dev,apt-get
GWpcor,apt-get install -y libproj-dev,apt-get
gwsem,apt-get install -y make,apt-get
GeneralizedUmatrix,apt-get install -y pandoc,apt-get
R2SWF,apt-get install -y libfreetype6-dev,apt-get
R2SWF,apt-get install -y libpng-dev,apt-get
R2SWF,apt-get install -y zlib1g-dev,apt-get
tkRplotR,apt-get install -y tcl,apt-get
tkRplotR,apt-get install -y tk,apt-get
tkRplotR,apt-get install -y tk-dev,apt-get
JointAI,apt-get install -y jags,apt-get
detrendr,apt-get install -y make,apt-get
httpuv,apt-get install -y make,apt-get
bbsBayes,apt-get install -y jags,apt-get
magick,apt-get install -y imagemagick,apt-get
magick,apt-get install -y libmagick++-dev,apt-get
sass,apt-get install -y make,apt-get
NACHO,apt-get install -y pandoc-citeproc,apt-get
NACHO,apt-get install -y pandoc,apt-get
dialrjars,apt-get install -y default-jdk,apt-get
dialrjars,R CMD javareconf,R CMD
altair,apt-get install -y python,apt-get
ECOSolveR,apt-get install -y make,apt-get
ijtiff,apt-get install -y libjpeg-dev,apt-get
ijtiff,apt-get install -y libtiff-dev,apt-get
ijtiff,apt-get install -y zlib1g-dev,apt-get
FCPS,apt-get install -y pandoc,apt-get
baseflow,apt-get install -y make,apt-get
baseflow,apt-get install -y rustc,apt-get
baseflow,apt-get install -y cargo,apt-get
rubias,apt-get install -y make,apt-get
PMCMRplus,apt-get install -y libgmp3-dev,apt-get
PMCMRplus,apt-get install -y libmpfr-dev,apt-get
SpatMCA,apt-get install -y make,apt-get
ridge,apt-get install -y libgsl0-dev,apt-get
paws.common,apt-get install -y pandoc,apt-get
extRatum,apt-get install -y libgdal-dev,apt-get
extRatum,apt-get install -y gdal-bin,apt-get
extRatum,apt-get install -y libgeos-dev,apt-get
extRatum,apt-get install -y libproj-dev,apt-get
xgboost,apt-get install -y make,apt-get
spcosa,apt-get install -y default-jdk,apt-get
spcosa,apt-get install -y libproj-dev,apt-get
spcosa,R CMD javareconf,R CMD
blavaan,apt-get install -y make,apt-get
mixture,apt-get install -y libgsl0-dev,apt-get
